City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Korla,CN,41.7597,86.1469,59.45,36,2,10.87,clear sky
339,Torrevieja,ES,37.9787,-0.6822,66.99,66,31,10.0,scattered clouds
340,Prince Rupert,CA,54.3161,-130.3201,37.4,75,75,2.3,broken clouds
341,Pinawa,CA,50.1489,-95.8811,45.14,60,35,9.69,scattered clouds
342,Pedernales,DO,18.0384,-71.744,82.17,60,43,11.16,scattered clouds
343,San Rafael,AR,-34.6177,-68.3301,70.03,22,0,8.37,clear sky
344,Bathsheba,BB,13.2167,-59.5167,80.6,65,75,14.97,volcanic ash
345,Cravo Norte,CO,6.3017,-70.2041,85.6,55,97,3.56,overcast clouds
346,Kathua,IN,32.3667,75.5167,76.08,27,94,10.27,overcast clouds
347,Ojinaga,MX,29.5667,-104.4167,79.0,14,1,3.44,clear sky
348,Mount Gambier,AU,-37.8333,140.7667,50.0,87,90,1.14,overcast clouds
349,College,US,64.8569,-147.8028,9.0,65,90,6.91,overcast clouds
350,Saint Pete Beach,US,27.7253,-82.7412,68.0,88,90,12.66,very heavy rain
351,Senneterre,CA,48.3835,-77.2328,69.8,43,75,12.66,broken clouds
352,Carora,VE,10.1755,-70.0827,89.94,41,98,3.51,overcast clouds
353,Kavieng,PG,-2.5744,150.7967,79.45,79,100,1.43,light rain
354,Pisco,PE,-13.7,-76.2167,73.4,64,0,8.05,clear sky
355,Sinnamary,GF,5.3833,-52.95,78.91,83,100,2.48,overcast clouds
356,Roald,NO,62.5833,6.1333,41.0,75,20,14.97,few clouds
357,Maniitsoq,GL,65.4167,-52.9,34.0,80,25,4.68,scattered clouds
358,Ambilobe,MG,-13.2,49.05,75.36,89,58,2.95,broken clouds
359,Puerto Colombia,CO,10.9878,-74.9547,86.0,70,40,3.44,scattered clouds
360,Mana,GF,5.6592,-53.7767,75.78,92,100,3.29,overcast clouds
361,Zyryanka,RU,65.75,150.85,-27.53,100,85,2.1,overcast clouds
362,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,94,40,10.36,scattered clouds
363,Chifeng,CN,42.2683,118.9636,48.83,56,81,9.84,broken clouds
364,Quelimane,MZ,-17.8786,36.8883,78.8,83,75,3.44,broken clouds
365,Buraydah,SA,26.326,43.975,78.8,29,0,14.97,clear sky
366,San Luis,AR,-33.295,-66.3356,66.27,32,0,7.18,clear sky
367,Isangel,VU,-19.55,169.2667,78.4,87,99,9.33,overcast clouds
368,Gat,IL,31.61,34.7642,61.0,53,11,7.34,few clouds
369,Chunoyar,RU,57.4467,97.3217,29.89,97,100,5.5,light snow
370,Braine-Le-Comte,BE,50.6082,4.1434,45.0,67,65,7.0,broken clouds
371,Fort Saint James,CA,54.4333,-124.25,35.33,59,58,3.96,broken clouds
372,Sorland,NO,67.667,12.6934,35.6,75,75,17.27,broken clouds
373,Tazovskiy,RU,67.4667,78.7,30.34,91,100,17.47,overcast clouds
374,Tabou,CI,4.423,-7.3528,83.88,73,71,10.42,broken clouds
375,Preobrazheniye,RU,42.9019,133.9064,41.04,94,37,6.8,scattered clouds
376,Nizwa,OM,22.9333,57.5333,84.25,31,74,4.18,broken clouds
377,Srednekolymsk,RU,67.45,153.6833,-31.59,100,94,1.07,overcast clouds
378,Conde,BR,-7.2597,-34.9075,75.2,100,75,2.3,light rain
379,Verkhniy Landekh,RU,56.8389,42.5994,36.93,93,3,1.88,clear sky
380,Ankazoabo,MG,-22.2833,44.5167,75.72,43,0,4.14,clear sky
381,Kisangani,CD,0.5167,25.2,77.0,88,40,0.45,scattered clouds
382,Anori,BR,-3.7728,-61.6442,88.5,54,87,4.36,overcast clouds
383,Port Hedland,AU,-20.3167,118.5667,80.6,89,84,5.75,broken clouds
384,Maumere,ID,-8.6199,122.2111,78.6,82,64,4.79,broken clouds
385,Qinzhou,CN,21.95,108.6167,74.77,83,73,10.0,light rain
386,Svetlyy,RU,54.675,20.1347,64.4,36,0,11.18,clear sky
387,Amahai,ID,-3.3333,128.9167,77.77,86,100,4.05,overcast clouds
388,Ilhabela,BR,-23.7781,-45.3581,81.99,53,3,5.97,clear sky
389,Natchitoches,US,31.7668,-93.1335,69.8,43,1,4.61,clear sky
390,Hamilton,US,39.1834,-84.5333,53.01,82,90,14.97,light rain
391,Bengkulu,ID,-3.8004,102.2655,76.17,89,88,3.98,heavy intensity rain
392,Aljezur,PT,37.3191,-8.8033,62.22,71,44,12.8,scattered clouds
393,Aklavik,CA,68.2191,-135.0107,-14.8,70,1,4.61,clear sky
394,Namatanai,PG,-3.6667,152.4333,76.12,92,100,4.74,light rain
395,Dakar,SN,14.6937,-17.4441,75.2,69,0,13.8,clear sky
396,Peniche,PT,39.3558,-9.3811,61.0,73,76,8.99,broken clouds
397,Namanyere,TZ,-7.5167,31.05,60.91,95,93,3.67,overcast clouds
398,Shebunino,RU,46.4339,141.8603,42.22,87,97,22.73,overcast clouds
399,Hebi,CN,35.8992,114.1925,53.29,61,94,3.24,overcast clouds
400,Constitucion,CL,-35.3333,-72.4167,67.75,45,0,15.99,clear sky
401,Souillac,MU,-20.5167,57.5167,80.6,78,40,6.91,light rain
402,Cabo San Lucas,MX,22.8909,-109.9124,75.0,73,75,3.44,broken clouds
403,San Patricio,US,28.017,-97.5169,80.01,57,20,12.66,few clouds
404,Ust-Maya,RU,60.4167,134.5333,0.48,99,97,1.43,overcast clouds
405,Asyut,EG,27.181,31.1837,68.0,40,0,13.8,clear sky
406,Kaseda,JP,31.4167,130.3167,57.0,67,25,10.0,scattered clouds
407,Miraflores,MX,19.2167,-98.8083,73.4,25,1,4.61,clear sky
408,Tocopilla,CL,-22.092,-70.1979,71.65,65,7,7.29,clear sky
409,Valvedditturai,LK,9.8167,80.1667,82.89,73,7,11.92,clear sky
410,Dosso,NE,13.049,3.1937,105.4,3,44,8.68,scattered clouds
411,Quimper,FR,48.0,-4.1,48.2,57,75,10.36,broken clouds
412,Hovd,MN,48.0056,91.6419,31.42,28,5,4.76,clear sky
413,Plettenberg Bay,ZA,-34.0527,23.3716,63.05,85,100,2.51,overcast clouds
414,Porto Nacional,BR,-10.7081,-48.4172,91.4,46,20,8.05,few clouds
415,Iracoubo,GF,5.4802,-53.2011,77.34,87,100,2.84,overcast clouds
416,Stowe,US,40.2526,-75.6774,60.01,94,90,6.91,mist
417,Pacific Grove,US,36.6177,-121.9166,53.01,76,90,5.75,overcast clouds
418,Price,US,39.5994,-110.8107,53.6,22,1,12.66,clear sky
419,Berlin,DE,52.5244,13.4105,66.2,48,0,6.91,clear sky
420,Arandis,NA,-22.4167,14.9667,92.3,18,1,8.81,clear sky
421,Kuytun,RU,54.3419,101.5036,19.63,89,79,3.83,broken clouds
422,Ndele,CF,8.4109,20.6473,89.2,15,100,1.5,overcast clouds
423,Namasuba,UG,0.6894,32.4214,63.37,95,90,3.47,light rain
424,Mbandaka,CD,0.0487,18.2603,73.47,83,45,7.2,scattered clouds
425,Dawson Creek,CA,55.7666,-120.2362,33.8,51,1,16.11,clear sky
426,Saint Anthony,US,45.0205,-93.218,50.0,76,90,11.5,overcast clouds
427,Saint-Georges,GD,12.0564,-61.7485,86.0,66,40,20.71,scattered clouds
428,Antofagasta,CL,-23.65,-70.4,71.01,56,0,10.36,clear sky
429,Krasnyy Chikoy,RU,50.3643,108.7512,21.2,50,8,5.79,clear sky
430,Balkanabat,TM,39.5108,54.3671,78.31,16,81,17.45,broken clouds
431,Huanren,CN,41.2647,125.3667,48.69,62,100,4.94,overcast clouds
