City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Jeremie,HT,81.73,broken clouds,18.65,-74.1167,Auberge’Inn
628,Bowen,AU,75.2,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
633,Waingapu,ID,77.11,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
634,Kirakira,SB,78.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
635,Cobija,BO,87.64,moderate rain,-11.0267,-68.7692,Hotel Obelisco
641,La Joya,MX,87.01,clear sky,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
646,Lolodorf,CM,73.33,overcast clouds,3.2333,10.7333,Auberge La Decouverte
648,Batouri,CM,71.82,moderate rain,4.4333,14.3667,Hotel Hollywood
649,Tirumullaivasal,IN,83.53,clear sky,11.2333,79.8333,Hajaali
650,Kieta,PG,77.4,light rain,-6.2167,155.6333,Uruna Bay Retreat
652,Savannah Bight,HN,86.0,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
653,Adeje,ES,73.0,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
654,Anloga,GH,87.8,few clouds,5.7947,0.8973,Pin Drop Hotel
655,Ramhormoz,IR,87.8,scattered clouds,31.28,49.6035,کافی نت کاریزما
658,Buchanan,LR,87.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
659,Katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
660,Senanga,ZM,71.26,clear sky,-16.1167,23.2667,Christopher Nasilele House
665,Kloulklubed,PW,78.8,very heavy rain,7.0419,134.2556,Storyboard Beach Resort
666,Odweyne,SO,81.34,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
669,Ixtapa,MX,75.2,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
672,Raha,IN,82.89,clear sky,26.2333,92.5167,Bishnu Rajbingshi Rent House
673,Daru,PG,75.65,broken clouds,-9.0763,143.2092,Daru Lodge
676,Praia,CV,82.4,clear sky,14.9215,-23.5087,LT Aparthotel
678,Lekoni,GA,80.13,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
680,Durban,ZA,77.0,few clouds,-29.8579,31.0292,Hilton Durban
691,Labuhan,ID,78.91,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
694,Sulangan,PH,81.84,overcast clouds,11.1373,123.7228,Maia's Beach Resort
696,Huarmey,PE,74.07,broken clouds,-10.0681,-78.1522,Hotel Miramar
697,Mateare,NI,87.8,scattered clouds,12.2351,-86.4281,Lotinica prados las mercedes
701,Horn Lake,US,70.0,clear sky,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
702,Goiatuba,BR,83.5,clear sky,-18.0125,-49.3547,Hotel Barrocos
